South Serdio,DRGN0.BIN,5705,None,None,None,None,"5697[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65]"
North Serdio,DRGN0.BIN,5706,None,None,None,None,"5698[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67]"
Tiberoa,DRGN0.BIN,5707,None,None,None,None,"5699[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48]"
Illisa Bay,DRGN0.BIN,5708,None,None,None,None,"5700[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56]"
Mille Seseau,DRGN0.BIN,5709,None,None,None,None,"5701[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53]"
Gloriano,DRGN0.BIN,5710,None,None,None,None,"5702[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]"
Death Frontier Desert,DRGN0.BIN,5711,None,None,None,None,"5703[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]"
World Map Complete,DRGN0.BIN,5712,None,None,None,None,"5704[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]"
Mini Dart,5714,0,5714,"[2, 3, 4]",None,None,5713[0]
Queen Fury,5715,0,5715,[2],None,None,5713[1]
Coloon,5716,0,5716,[2],None,None,5713[2]
Teleportation Glow,5717,0,5717,[2],None,None,5713[3]
